repository,stage,error
https://github.com/ApolloAuto/apollo,clone,Repository clone failed
https://github.com/ClickHouse/ClickHouse,clone,Repository clone failed
https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,clone,Repository clone failed
https://github.com/JetBrains/intellij-community,clone,Repository clone failed
https://github.com/OpenAPITools/openapi-generator,clone,Repository clone failed
https://github.com/OpenHands/OpenHands,github_api,GitHub API returned no data
https://github.com/OtterMind/Chat2DB,github_api,GitHub API returned no data
https://github.com/PaddlePaddle/Paddle,github_api,GitHub API returned no data
https://github.com/PaddlePaddle/PaddleOCR,github_api,GitHub API returned no data
https://github.com/Panniantong/Agent-Reach,github_api,GitHub API returned no data
https://github.com/PatrickJS/awesome-cursorrules,github_api,GitHub API returned no data
https://github.com/PhilJay/MPAndroidChart,github_api,GitHub API returned no data
https://github.com/RPCS3/rpcs3,github_api,GitHub API returned no data
https://github.com/RVC-Boss/GPT-SoVITS,github_api,GitHub API returned no data
https://github.com/ReactiveX/RxAndroid,github_api,GitHub API returned no data
https://github.com/ReactiveX/RxJava,github_api,GitHub API returned no data
https://github.com/SagerNet/sing-box,github_api,GitHub API returned no data
https://github.com/SeleniumHQ/selenium,github_api,GitHub API returned no data
https://github.com/Semantic-Org/Semantic-UI,github_api,GitHub API returned no data
https://github.com/SerenityOS/serenity,github_api,GitHub API returned no data
https://github.com/Shubhamsaboo/awesome-llm-apps,github_api,GitHub API returned no data
https://github.com/Significant-Gravitas/AutoGPT,github_api,GitHub API returned no data
https://github.com/Snailclimb/JavaGuide,github_api,GitHub API returned no data
https://github.com/Stirling-Tools/Stirling-PDF,github_api,GitHub API returned no data
https://github.com/TauricResearch/TradingAgents,github_api,GitHub API returned no data
https://github.com/TeamNewPipe/NewPipe,github_api,GitHub API returned no data
https://github.com/Tencent/ncnn,github_api,GitHub API returned no data
https://github.com/Textualize/rich,github_api,GitHub API returned no data
https://github.com/TheAlgorithms/C-Plus-Plus,github_api,GitHub API returned no data
https://github.com/TheAlgorithms/Java,github_api,GitHub API returned no data
https://github.com/TheAlgorithms/JavaScript,github_api,GitHub API returned no data
https://github.com/TheAlgorithms/Python,github_api,GitHub API returned no data
https://github.com/ToolJet/ToolJet,github_api,GitHub API returned no data
https://github.com/TranslucentTB/TranslucentTB,github_api,GitHub API returned no data
https://github.com/TryGhost/Ghost,github_api,GitHub API returned no data
https://github.com/Unitech/pm2,github_api,GitHub API returned no data
https://github.com/ValveSoftware/Proton,github_api,GitHub API returned no data
https://github.com/Wei-Shaw/sub2api,github_api,GitHub API returned no data
https://github.com/WerWolv/ImHex,github_api,GitHub API returned no data
https://github.com/XIU2/CloudflareSpeedTest,github_api,GitHub API returned no data
https://github.com/XTLS/Xray-core,github_api,GitHub API returned no data
https://github.com/YunaiV/ruoyi-vue-pro,github_api,GitHub API returned no data
https://github.com/YunaiV/yudao-cloud,github_api,GitHub API returned no data
https://github.com/Z4nzu/hackingtool,github_api,GitHub API returned no data
https://github.com/ZhuLinsen/daily_stock_analysis,github_api,GitHub API returned no data
https://github.com/Zie619/n8n-workflows,github_api,GitHub API returned no data
https://github.com/alibaba/Sentinel,clone,Repository clone failed.
https://github.com/alibaba/nacos,clone,Repository clone failed.
https://github.com/alibaba/spring-cloud-alibaba,clone,Repository clone failed.
https://github.com/apache/dubbo,clone,Repository clone failed.
https://github.com/apache/flink,clone,Repository clone failed.
https://github.com/apache/incubator-seata,clone,Repository clone failed.
https://github.com/apache/shardingsphere,clone,Repository clone failed.
https://github.com/apache/skywalking,clone,Repository clone failed.
https://github.com/binarywang/WxJava,clone,Repository clone failed.
https://github.com/blender/blender,clone,Repository clone failed.
https://github.com/bumptech/glide,clone,Repository clone failed.
https://github.com/chromium/chromium,clone,Repository clone failed.
https://github.com/cockroachdb/cockroach,clone,Repository clone failed.
https://github.com/elastic/elasticsearch,clone,Repository clone failed.
https://github.com/eugenp/tutorials,clone,Repository clone failed.
https://github.com/gatsbyjs/gatsby,clone,Repository clone failed.
https://github.com/hashicorp/terraform,clone,Repository clone failed.
https://github.com/iBotPeaches/Apktool,clone,Repository clone failed.
https://github.com/jeecgboot/JeecgBoot,clone,Repository clone failed.
https://github.com/juanfont/headscale,clone,Repository clone failed.
https://github.com/keycloak/keycloak,clone,Repository clone failed.
https://github.com/libgdx/libgdx,clone,Repository clone failed.
https://github.com/moby/moby,clone,Repository clone failed.
https://github.com/pytorch/pytorch,clone,Repository clone failed.
https://github.com/react/react,clone,Repository clone failed.
https://github.com/react/react-native,clone,Repository clone failed.
https://github.com/spring-projects/spring-boot,clone,Repository clone failed.
https://github.com/spring-projects/spring-framework,clone,Repository clone failed.
https://github.com/vercel/next.js,clone,Repository clone failed.
https://github.com/wailsapp/wails,clone,Repository clone failed.
https://github.com/webpack/webpack,clone,Repository clone failed.
https://github.com/yarnpkg/yarn,clone,Repository clone failed.
https://github.com/yudaocode/SpringBoot-Labs,clone,Repository clone failed.
https://github.com/SpecterOps/Nemesis,clone,Repository clone failed.
https://github.com/molecularsets/moses,clone,Repository clone failed.
https://github.com/coreybutler/nvm-windows,clone,name 'repo_result' is not defined
