feature,importance
numeric__readme_score,0.60373640204999
numeric__has_license,0.09312221276443317
numeric__watchers,0.06232105354076315
numeric__stars,0.06087485902833801
numeric__tech_stack_count,0.04742844702284709
numeric__has_readme,0.031903515404350866
numeric__forks,0.025703770468389807
numeric__language_count,0.015247403095648104
numeric__has_gitignore,0.013610158170428047
numeric__dependency_count,0.011830070687994411
numeric__python,0.006450545354720899
numeric__size,0.00406408758483417
numeric__functions,0.003848773940377278
numeric__total_folders,0.003001137821734972
numeric__created_days,0.002927740001162558
numeric__lines,0.0023551310584180715
numeric__total_files,0.0022233017562526517
numeric__open_issues,0.002013958747034841
numeric__javascript,0.0016195631025561488
numeric__html,0.0014806526385026332
numeric__complexity,0.001229541512194709
numeric__updated_days,0.000885230847086472
numeric__css,0.0006848602767579395
numeric__cpp,0.00033850825478414377
numeric__java,0.00022194815601705534
language__language_JavaScript,0.0001562680389303852
language__language_Python,0.00015145098942632803
language__language_TypeScript,8.809063285669658e-05
numeric__complexity_supported,6.827025741354389e-05
language__language_C++,5.5634534518808206e-05
language__language_Go,5.040957787001221e-05
language__language_C#,4.904142617659801e-05
language__language_Rust,4.565936333259904e-05
language__language_C,4.326006744427731e-05
language__language_Swift,3.52391611564096e-05
language__language_Java,3.5050398097837876e-05
language__language_Dart,2.7632138359667584e-05
language__language_PHP,2.729808228182771e-05
language__language_Kotlin,2.715970683135432e-05
language__language_Scala,9.829418419370846e-06
language__language_Ruby,6.832921267022785e-06
