repository,total_files,total_folders,lines,python,html,css,javascript,java,cpp,dependency_count,readme_score,functions,complexity,language_count,tech_stack_count,has_readme,has_license,has_gitignore,stars,forks,watchers,open_issues,language,size,created_days,updated_days,health_score,health_grade,complexity_supported,functions_supported
1Panel-dev/1Panel,1781,757,558687,0,15,2,6,0,0,70,70,1275.0,4.54,13,2,True,True,True,36709,3315,36709,313,Go,107826,1502.18,0.05,82.5,Good,True,True
1c7/chinese-independent-developer,16,11,10723,2,0,0,0,0,0,0,80,29.0,2.48,4,1,True,False,True,61114,5334,61114,2,Python,5347,3264.38,0.01,77.0,Good,True,True
3b1b/manim,178,29,38925,114,0,0,0,0,0,30,80,2198.0,2.21,6,3,True,False,True,92169,7592,92169,490,Python,77344,4178.06,0.03,81.0,Good,True,True
521xueweihan/HelloGitHub,264,7,77826,2,0,0,0,0,0,0,50,16.0,2.69,4,1,True,False,True,173605,12675,173605,657,Python,9332,3769.57,0.01,72.5,Good,True,True
666ghj/MiroFish,128,28,118672,62,1,0,9,0,0,8,40,930.0,4.56,10,4,True,True,True,71731,11143,71731,122,Python,16707,276.66,0.01,88.0,Excellent,True,True
78/xiaozhi-esp32,1658,248,173941,22,0,0,0,0,2,2,70,385.0,4.2,10,4,True,True,True,29438,6789,29438,682,C++,10747,728.42,0.01,92.5,Excellent,True,True
AUTOMATIC1111/stable-diffusion-webui,315,53,67276,213,11,2,30,0,0,32,80,2656.0,3.79,10,4,True,False,True,164720,30557,164720,2501,Python,36552,1468.25,0.0,78.0,Good,True,True
AlistGo/alist,826,187,133491,0,0,0,0,0,0,0,60,,,8,1,True,True,True,50120,7937,50120,565,Go,6729,2075.1,0.02,68.5,Moderate,False,False
Anuken/Mindustry,4246,274,753338,0,0,0,2,867,0,0,60,11595.0,2.5,8,2,True,True,True,28765,3758,28765,48,Java,1970944,3408.78,0.0,86.0,Excellent,True,True
Asabeneh/30-Days-Of-JavaScript,811,318,5192010,0,60,0,143,0,0,0,60,,,4,1,True,False,True,46748,10466,46748,371,JavaScript,124996,2441.25,0.17,58.5,Moderate,False,False
Asabeneh/30-Days-Of-Python,404,67,646277,31,5,1,0,0,0,0,40,31.0,1.16,8,2,True,False,True,72186,13241,72186,200,Python,31468,2475.12,0.01,69.0,Moderate,True,True
Atmosphere-NX/Atmosphere,3978,660,641591,10,0,0,0,0,1111,0,50,26.0,3.38,12,1,True,True,True,19482,1459,19482,12,C++,26728,3145.52,0.03,77.5,Good,True,True
BVLC/caffe,701,70,177156,38,2,3,0,0,185,2,50,373.0,3.81,14,4,True,True,True,34556,18421,34556,1175,C++,76170,4734.06,0.16,89.5,Excellent,True,True
Baseflow/PhotoView,72,32,4975,0,0,0,0,25,0,0,70,195.0,1.26,5,1,True,True,True,18813,3901,18813,232,Java,16896,5156.15,0.12,87.5,Excellent,True,True
Blankj/AndroidUtilCode,704,349,156331,0,0,0,0,275,0,0,30,4789.0,1.59,8,1,True,True,True,33629,10615,33629,328,Java,47329,3682.08,0.11,81.5,Good,True,True
CMU-Perceptual-Computing-Lab/openpose,580,93,756010,11,2,0,0,0,146,1,90,3.0,1.0,9,2,True,True,True,34417,8038,34417,359,C++,86496,3414.25,0.16,94.5,Excellent,True,True
CarGuo/GSYVideoPlayer,730,225,1155723,1,0,0,0,333,0,0,70,4367.0,1.45,8,2,True,True,True,21480,4315,21480,15,Java,423018,3576.32,0.23,87.5,Excellent,True,True
Chalarangelo/30-seconds-of-code,3300,108,3280275,0,0,1,100,0,0,24,30,111.0,7.04,8,2,True,True,True,128858,12484,128858,0,JavaScript,743128,3195.11,0.0,72.5,Good,True,True
Comfy-Org/ComfyUI,1068,200,1873157,797,0,0,0,0,0,35,60,16721.0,3.14,8,3,True,True,True,130601,15390,130601,4740,Python,95725,1320.7,0.0,85.0,Excellent,True,True
ComposioHQ/awesome-claude-skills,1142,906,213054,62,0,0,1,0,0,1,80,405.0,6.55,8,3,True,False,False,73869,8466,73869,1350,Python,3679,316.54,0.0,68.0,Moderate,True,True
CorentinJ/Real-Time-Voice-Cloning,77,13,8760,60,0,0,0,0,0,2,40,340.0,2.92,5,3,True,True,True,60120,9392,60120,177,Python,369730,2652.47,0.0,91.0,Excellent,True,True
D4Vinci/Scrapling,262,45,62739,126,1,1,0,0,0,0,100,1964.0,3.18,10,2,True,True,True,77132,7732,77132,5,Python,10324,684.99,0.01,89.0,Excellent,True,True
DavidHDev/react-bits,3772,784,1267780,0,1,334,236,0,0,54,80,7328.0,6.06,11,2,True,False,True,46399,2226,46399,9,JavaScript,122310,753.55,0.0,70.0,Good,True,True
DietrichGebert/ponytail,159,53,18160,6,0,0,43,0,0,2,50,180.0,7.42,7,3,True,True,True,116313,6349,116313,182,JavaScript,2059,78.8,0.0,85.5,Excellent,True,True
Dogfalo/materialize,332,50,127435,0,97,5,57,0,0,29,60,994.0,5.69,9,2,True,True,True,38814,4603,38814,791,JavaScript,165858,4369.02,0.17,81.0,Good,True,True
DrKLO/Telegram,29067,1272,8877573,122,4,1,5,2998,145,2,40,95991.0,3.64,23,6,True,True,True,29796,9992,29796,482,Java,720087,4691.25,0.12,88.0,Excellent,True,True
EbookFoundation/free-programming-books,233,11,34547,1,1,0,0,0,0,0,60,6.0,17.33,4,1,True,True,True,395535,66721,395535,82,Python,21894,4705.56,0.01,66.0,Moderate,True,True
FiloSottile/mkcert,16,3,1751,0,0,0,0,0,0,0,60,,,3,0,True,True,False,59521,3133,59521,177,Go,1799,2987.61,0.09,58.5,Moderate,False,False
Fincept-Corporation/FinceptTerminal,3596,371,1392960,1370,3,0,2,0,1041,3,60,17940.0,4.46,14,5,True,True,True,30788,4349,30788,12,C++,794112,730.23,0.01,91.0,Excellent,True,True
FortAwesome/Font-Awesome,23250,51,1036763,0,0,41,2911,0,0,1,60,1934.0,6.38,8,2,True,False,False,76890,12185,76890,315,JavaScript,162598,5307.24,0.02,65.0,Moderate,True,True
FoundationAgents/MetaGPT,1255,260,238170,890,2,0,15,0,0,98,90,4918.0,2.78,12,8,True,True,True,70092,8915,70092,135,Python,184037,1156.46,0.04,84.5,Good,True,True
FoundationAgents/OpenManus,145,33,28522,90,3,0,0,0,0,44,70,529.0,3.73,9,4,True,True,True,58112,10091,58112,466,Python,4572,541.25,0.06,82.5,Good,True,True
Graphify-Labs/graphify,848,83,300426,347,1,0,1,1,6,2,70,6572.0,4.82,25,6,True,True,True,112243,10920,112243,1146,Python,11084,148.18,0.0,92.5,Excellent,True,True
IceWhaleTech/CasaOS,184,50,56345,0,1,0,0,0,0,6,100,,,7,1,True,True,True,37161,2194,37161,833,Go,182856,1798.73,0.09,82.5,Good,False,False
JakeWharton/butterknife,243,134,34228,0,3,4,2,156,0,0,50,978.0,2.93,10,2,True,False,True,25348,4541,25348,118,Java,3909,4925.49,4.11,72.5,Good,True,True
JuliusBrussee/caveman,1389,263,319278,45,8,2,34,0,0,20,80,2733.0,5.35,12,3,True,True,True,101742,5914,101742,380,Go,9573,147.42,0.01,87.0,Excellent,True,True
LadybirdBrowser/ladybird,28816,2420,3146189,176,10398,92,2132,1,2442,0,40,7690.0,4.28,20,5,True,True,True,65900,3137,65900,532,C++,506305,821.45,0.03,80.0,Good,True,True
LeCoupa/awesome-cheatsheets,63,7,55836,1,1,2,15,0,0,0,50,27.0,36.3,10,2,True,True,True,46407,6695,46407,136,JavaScript,8889,3215.72,0.01,61.5,Moderate,True,True
Leaflet/Leaflet,1006,105,187217,0,87,7,146,0,0,27,50,249.0,12.34,8,2,True,True,True,45532,6155,45532,565,JavaScript,59909,5820.13,0.14,68.5,Moderate,True,True
Leonxlnx/taste-skill,64,26,18754,0,0,0,0,0,0,0,50,0.0,0.0,5,0,True,True,False,82149,5623,82149,58,JavaScript,33814,190.94,0.0,69.5,Moderate,True,True
Light-City/CPlusPlusThings,690,176,55384,0,0,0,0,0,416,0,50,,,5,0,True,False,True,43392,8807,43392,10,C++,2503,2603.48,0.17,57.0,Moderate,False,False
LizardByte/Sunshine,525,112,308015,0,11,2,9,0,93,12,40,17.0,6.82,16,2,True,True,True,40666,2071,40666,155,C++,116118,1717.86,0.02,79.0,Good,True,True
MHSanaei/3x-ui,1701,217,429662,0,4,51,4,0,0,62,60,2297.0,4.08,13,3,True,True,True,45547,9987,45547,150,Go,59118,1297.04,0.01,81.0,Good,True,True
MaaAssistantArknights/MaaAssistantArknights,10936,833,5006665,62,0,0,0,2,231,21,70,351.0,3.37,22,7,True,True,True,22854,2807,22854,693,C++,1114764,1877.07,0.03,84.5,Good,True,True
MemPalace/mempalace,571,86,621610,276,1,2,1,0,0,6,100,7365.0,3.91,14,5,True,True,True,58725,7536,58725,730,Python,24633,146.79,0.05,97.0,Excellent,True,True
Mintplex-Labs/anything-llm,5658,885,600903,3,5,8,735,0,0,171,100,4678.0,6.8,15,4,True,True,True,65366,7210,65366,328,JavaScript,92161,1182.74,0.01,76.0,Good,True,True
MisterBooo/LeetCodeAnimation,391,332,6628284,5,0,0,5,11,1,0,40,95.0,3.52,8,4,True,False,True,76702,13879,76702,22,Java,510338,2823.51,0.18,62.0,Moderate,True,True
